"genres","href","id","image_height","image_url","image_width","name","popularity","type","uri","external_urls.spotify","followers.href","followers.total","genre","max_height"
"c(""modern rock"", ""neon pop punk"", ""pixie"", ""pop punk"", ""rock"", ""texas pop punk"")","https://api.spotify.com/v1/artists/3QaxveoTiMetZCMp1sftiu","3QaxveoTiMetZCMp1sftiu",640,"https://i.scdn.co/image/ab6761610000e5eb7ee8357ca6f41c9ab8f453a9",640,"Waterparks",64,"artist","spotify:artist:3QaxveoTiMetZCMp1sftiu","https://open.spotify.com/artist/3QaxveoTiMetZCMp1sftiu",NA,455317,"Pop",640
"c(""canadian contemporary r&b"", ""pop"", ""r&b"", ""trap soul"")","https://api.spotify.com/v1/artists/4HzKw8XcD0piJmDrrPRCYk","4HzKw8XcD0piJmDrrPRCYk",640,"https://i.scdn.co/image/ab6761610000e5ebd33d15c40225052c58d9eef6",640,"Majid Jordan",67,"artist","spotify:artist:4HzKw8XcD0piJmDrrPRCYk","https://open.spotify.com/artist/4HzKw8XcD0piJmDrrPRCYk",NA,807713,"Pop",640
"c(""la indie"", ""modern alternative rock"", ""modern rock"", ""pop rock"", ""rock"")","https://api.spotify.com/v1/artists/4AcHt3JxKy59IX7JNNlZn4","4AcHt3JxKy59IX7JNNlZn4",640,"https://i.scdn.co/image/ab6761610000e5eb7ef3783488fcf0dab0708970",640,"Fitz and The Tantrums",67,"artist","spotify:artist:4AcHt3JxKy59IX7JNNlZn4","https://open.spotify.com/artist/4AcHt3JxKy59IX7JNNlZn4",NA,811241,"Pop",640
"c(""dance pop"", ""pop"", ""post-teen pop"")","https://api.spotify.com/v1/artists/6dJeKm76NjfXBNTpHmOhfO","6dJeKm76NjfXBNTpHmOhfO",1333,"https://i.scdn.co/image/469b6a74f5ddca9560e9f5137842e3772c8576c0",1000,"Selena Gomez & The Scene",69,"artist","spotify:artist:6dJeKm76NjfXBNTpHmOhfO","https://open.spotify.com/artist/6dJeKm76NjfXBNTpHmOhfO",NA,8301184,"Pop",1333
"c(""dance pop"", ""latin pop"", ""post-teen pop"")","https://api.spotify.com/v1/artists/0TeVa4xdLB8vdzjsvKH6Ri","0TeVa4xdLB8vdzjsvKH6Ri",640,"https://i.scdn.co/image/ab6761610000e5ebb67c7d6132d95274bccc4657",640,"Anahí",74,"artist","spotify:artist:0TeVa4xdLB8vdzjsvKH6Ri","https://open.spotify.com/artist/0TeVa4xdLB8vdzjsvKH6Ri",NA,710219,"Pop",640
"c(""hip hop"", ""queens hip hop"", ""rap"", ""southern hip hop"", ""sudanese hip hop"", ""sudanese pop"", ""trap"", ""underground hip hop"")","https://api.spotify.com/v1/artists/70gP6Ry4Uo0Yx6uzPIdaiJ","70gP6Ry4Uo0Yx6uzPIdaiJ",640,"https://i.scdn.co/image/ab6761610000e5ebe33ef339180da12882d8db11",640,"Bas",67,"artist","spotify:artist:70gP6Ry4Uo0Yx6uzPIdaiJ","https://open.spotify.com/artist/70gP6Ry4Uo0Yx6uzPIdaiJ",NA,484557,"Pop",640
"c(""indie pop"", ""indie poptimism"", ""indie rock"", ""minneapolis indie"", ""modern alternative rock"", ""modern rock"")","https://api.spotify.com/v1/artists/1btWGBz4Uu1HozTwb2Lm8A","1btWGBz4Uu1HozTwb2Lm8A",640,"https://i.scdn.co/image/ab6761610000e5eba6083ccfc09ae97298e8201d",640,"Hippo Campus",63,"artist","spotify:artist:1btWGBz4Uu1HozTwb2Lm8A","https://open.spotify.com/artist/1btWGBz4Uu1HozTwb2Lm8A",NA,573960,"Pop",640
"c(""alternative r&b"", ""hip hop"", ""indie soul"", ""la pop"", ""r&b"", ""rap"")","https://api.spotify.com/v1/artists/3QTDHixorJelOLxoxcjqGx","3QTDHixorJelOLxoxcjqGx",640,"https://i.scdn.co/image/ab6761610000e5eb972a4e990fb36451db2f40f2",640,"SiR",66,"artist","spotify:artist:3QTDHixorJelOLxoxcjqGx","https://open.spotify.com/artist/3QTDHixorJelOLxoxcjqGx",NA,781320,"Pop",640
"c(""pop r&b"", ""pop rap"", ""r&b"", ""urban contemporary"", ""viral rap"")","https://api.spotify.com/v1/artists/7ibAWtDtmEfaVhc1FJ3Vl9","7ibAWtDtmEfaVhc1FJ3Vl9",640,"https://i.scdn.co/image/ab6761610000e5eb57e1a650151e31195899c750",640,"Eric Bellinger",65,"artist","spotify:artist:7ibAWtDtmEfaVhc1FJ3Vl9","https://open.spotify.com/artist/7ibAWtDtmEfaVhc1FJ3Vl9",NA,772971,"Pop",640
"c(""colombian pop"", ""latin pop"", ""reggaeton"", ""reggaeton colombiano"", ""urbano latino"")","https://api.spotify.com/v1/artists/4bw2Am3p9ji3mYsXNXtQcd","4bw2Am3p9ji3mYsXNXtQcd",640,"https://i.scdn.co/image/ab6761610000e5eba519a8d102b2299a64ea01b6",640,"Piso 21",77,"artist","spotify:artist:4bw2Am3p9ji3mYsXNXtQcd","https://open.spotify.com/artist/4bw2Am3p9ji3mYsXNXtQcd",NA,8734567,"Pop",640
"c(""dance pop"", ""edm"", ""pop"", ""pop rap"")","https://api.spotify.com/v1/artists/6MF9fzBmfXghAz953czmBC","6MF9fzBmfXghAz953czmBC",640,"https://i.scdn.co/image/ab6761610000e5eb153171480a6f22912253b9f1",640,"Taio Cruz",70,"artist","spotify:artist:6MF9fzBmfXghAz953czmBC","https://open.spotify.com/artist/6MF9fzBmfXghAz953czmBC",NA,2191783,"Pop",640
"c(""pop"", ""post-teen pop"")","https://api.spotify.com/v1/artists/57WHJIHrjOE3iAxpihhMnp","57WHJIHrjOE3iAxpihhMnp",640,"https://i.scdn.co/image/ab6761610000e5ebe169df750e95452a1de99692",640,"Louis Tomlinson",73,"artist","spotify:artist:57WHJIHrjOE3iAxpihhMnp","https://open.spotify.com/artist/57WHJIHrjOE3iAxpihhMnp",NA,6629159,"Pop",640
"c(""latin pop"", ""mexican pop"")","https://api.spotify.com/v1/artists/6ModsWtBph2rE6zCTVxvZt","6ModsWtBph2rE6zCTVxvZt",640,"https://i.scdn.co/image/ab6761610000e5eb2a8d778af570658920e5e0a3",640,"Maite Perroni",74,"artist","spotify:artist:6ModsWtBph2rE6zCTVxvZt","https://open.spotify.com/artist/6ModsWtBph2rE6zCTVxvZt",NA,1208619,"Pop",640
"c(""dance pop"", ""dirty south rap"", ""gangster rap"", ""hip hop"", ""pop rap"", ""r&b"", ""rap"", ""southern hip hop"", ""trap"")","https://api.spotify.com/v1/artists/5OrB6Jhhrl9y2PK0pSV4VP","5OrB6Jhhrl9y2PK0pSV4VP",1328,"https://i.scdn.co/image/ca134959a6212f3931540a4c59a08e5c0774978d",1000,"Young Money",64,"artist","spotify:artist:5OrB6Jhhrl9y2PK0pSV4VP","https://open.spotify.com/artist/5OrB6Jhhrl9y2PK0pSV4VP",NA,2734720,"Pop",1328
"c(""alternative rock"", ""athens indie"", ""permanent wave"", ""pop rock"", ""rock"")","https://api.spotify.com/v1/artists/4KWTAlx2RvbpseOGMEmROg","4KWTAlx2RvbpseOGMEmROg",640,"https://i.scdn.co/image/ab6761610000e5eb6334ab6a83196f36475ada7f",640,"R.E.M.",74,"artist","spotify:artist:4KWTAlx2RvbpseOGMEmROg","https://open.spotify.com/artist/4KWTAlx2RvbpseOGMEmROg",NA,3839850,"Pop",640
"c(""hip hop"", ""indie pop rap"", ""pop rap"", ""rap"")","https://api.spotify.com/v1/artists/3IstlZaHyUP9SONpulb4SM","3IstlZaHyUP9SONpulb4SM",640,"https://i.scdn.co/image/ab6761610000e5ebd8d89cb8f42c76e30eda52a4",640,"Chris Webby",63,"artist","spotify:artist:3IstlZaHyUP9SONpulb4SM","https://open.spotify.com/artist/3IstlZaHyUP9SONpulb4SM",NA,589304,"Pop",640
"c(""alternative r&b"", ""indie r&b"", ""pop"", ""post-teen pop"", ""r&b"", ""rap"")","https://api.spotify.com/v1/artists/63XBtGSEZINSyXylZxEUbv","63XBtGSEZINSyXylZxEUbv",640,"https://i.scdn.co/image/ab6761610000e5eb971c717691df845ab7365740",640,"Victoria Monét",65,"artist","spotify:artist:63XBtGSEZINSyXylZxEUbv","https://open.spotify.com/artist/63XBtGSEZINSyXylZxEUbv",NA,626303,"Pop",640
"c(""latin pop"", ""mexican pop"", ""puerto rican pop"")","https://api.spotify.com/v1/artists/7slfeZO9LsJbWgpkIoXBUJ","7slfeZO9LsJbWgpkIoXBUJ",640,"https://i.scdn.co/image/ab6761610000e5eba50f664a6b720e94196ba102",640,"Ricky Martin",75,"artist","spotify:artist:7slfeZO9LsJbWgpkIoXBUJ","https://open.spotify.com/artist/7slfeZO9LsJbWgpkIoXBUJ",NA,7067362,"Pop",640
"c(""alternative rock"", ""neo mellow"", ""pop rock"", ""rock"")","https://api.spotify.com/v1/artists/0vEsuISMWAKNctLlUAhSZC","0vEsuISMWAKNctLlUAhSZC",640,"https://i.scdn.co/image/ab6761610000e5eba6f88c86470fd6350f4a5535",640,"Counting Crows",69,"artist","spotify:artist:0vEsuISMWAKNctLlUAhSZC","https://open.spotify.com/artist/0vEsuISMWAKNctLlUAhSZC",NA,1591529,"Pop",640
"c(""folk-pop"", ""indie folk"", ""indiecoustica"", ""neo mellow"", ""stomp and holler"")","https://api.spotify.com/v1/artists/59sBwR0jPSTrbMtuTkRPN5","59sBwR0jPSTrbMtuTkRPN5",640,"https://i.scdn.co/image/ab6761610000e5eb4ccb037d94a587ffa258e4c1",640,"Wild Rivers",66,"artist","spotify:artist:59sBwR0jPSTrbMtuTkRPN5","https://open.spotify.com/artist/59sBwR0jPSTrbMtuTkRPN5",NA,162404,"Pop",640
"c(""pop"", ""pop rap"", ""r&b"")","https://api.spotify.com/v1/artists/3tQx1LPXbsYjE9VwN1Peaa","3tQx1LPXbsYjE9VwN1Peaa",640,"https://i.scdn.co/image/ab6761610000e5eb6c044c16a167a8b1ebcf5965",640,"Marc E. Bassy",63,"artist","spotify:artist:3tQx1LPXbsYjE9VwN1Peaa","https://open.spotify.com/artist/3tQx1LPXbsYjE9VwN1Peaa",NA,406795,"Pop",640
"c(""indie poptimism"", ""modern rock"", ""pop"")","https://api.spotify.com/v1/artists/6QrQ7OrISRYIfS5mtacaw2","6QrQ7OrISRYIfS5mtacaw2",640,"https://i.scdn.co/image/ab6761610000e5eb87528aedec4b8d5586768014",640,"Jaymes Young",72,"artist","spotify:artist:6QrQ7OrISRYIfS5mtacaw2","https://open.spotify.com/artist/6QrQ7OrISRYIfS5mtacaw2",NA,851403,"Pop",640
